ID,title,author,publisher,categories,cost,shipping_cost,availability,copies,bookstores
18,The Lost Continent: Travels in Small Town America,Bill Bryson,William Morrow Paperbacks,['adventure'],44.64,2.2,True,36,"{'Connecticut Universal Native Transcripts': 2, 'Scripts Holden In Treasure': 16}"
19,Neither Here nor There: Travels in Europe,Bill Bryson,William Morrow Paperbacks,"['adventure', 'mystery']",24.8,3.27,True,134,"{'Philosophy In Scribes & Signatures': 30, 'Connecticut Universal Native Transcripts': 5, 'Scripts Holden In Treasure': 64}"
20,Notes from a Small Island,Bill Bryson,William Morrow Paperbacks,['mathematics'],21.82,3.53,True,39,{'Doctorate Institute Connection Kansas': 39}
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,William Morrow Paperbacks,"['sci-fi', 'adventure']",16.1,3.08,True,159,"{'Connecticut Universal Native Transcripts': 12, 'Philosophy In Scribes & Signatures': 46, 'Scripts Holden In Treasure': 32, 'Doctorate Institute Connection Kansas': 69}"
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Ballantine Books,['cooking'],1.77,3.06,True,111,"{'Books Untravled Through Time': 6, 'Doctorate Institute Connection Kansas': 6, 'Scripts Holden In Treasure': 99}"
23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Houghton Mifflin Harcourt,['cooking'],13.65,2.93,True,30,"{'Connecticut Universal Native Transcripts': 12, 'Scripts Holden In Treasure': 18}"
24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Houghton Mifflin Harcourt,['physics'],20.66,2.26,True,17,"{'Doctorate Institute Connection Kansas': 10, 'Connecticut Universal Native Transcripts': 7}"
25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Houghton Mifflin Harcourt,['physics'],45.2,4.45,True,168,"{'Philosophy In Scribes & Signatures': 45, 'Doctorate Institute Connection Kansas': 20, 'Connecticut Universal Native Transcripts': 13}"
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Houghton Mifflin Harcourt,['cooking'],12.3,2.26,True,130,"{'Connecticut Universal Native Transcripts': 5, 'Doctorate Institute Connection Kansas': 87, 'Scripts Holden In Treasure': 25, 'Philosophy In Scribes & Signatures': 8}"
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,Houghton Mifflin Harcourt,"['adventure', 'mystery']",1.82,1.0,True,26,"{'Cool Book Bro': 4, 'Philosophy In Scribes & Signatures': 0, 'Scripts Holden In Treasure': 7, 'Books Untravled Through Time': 8}"
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Pragmatic Bookshelf,"['sci-fi', 'comic']",1.66,4.32,True,85,"{'Books Untravled Through Time': 18, 'Cool Book Bro': 4, 'Philosophy In Scribes & Signatures': 27}"
29,Hatchet (Brian's Saga  #1),Gary Paulsen,Atheneum Books for Young Readers: Richard Jackson Books,"['physics', 'history']",15.6,4.05,True,1,{'Books Untravled Through Time': 1}
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,Teacher Created Resources,['biography'],14.87,3.61,True,117,"{'Scripts Holden In Treasure': 50, 'Doctorate Institute Connection Kansas': 67}"
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Delacorte Press,"['mathematics', 'history']",2.37,3.49,True,20,{'Doctorate Institute Connection Kansas': 20}
32,Molly Hatchet - 5 of the Best,Molly Hatchet,Cherry Lane Music Company,"['mystery', 'fantasy']",29.71,2.31,True,235,"{'Scripts Holden In Treasure': 78, 'Philosophy In Scribes & Signatures': 33, 'Books Untravled Through Time': 13}"
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,The New Press,"['physics', 'history']",15.76,4.89,True,56,"{'Cool Book Bro': 32, 'Connecticut Universal Native Transcripts': 20, 'Books Untravled Through Time': 4}"
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Changeling Press,"['sci-fi', 'comic']",49.24,1.03,True,35,"{'Books Untravled Through Time': 11, 'Connecticut Universal Native Transcripts': 13}"
35,Changeling (Changeling  #1),Delia Sherman,Viking Juvenile,"['mystery', 'sci-fi']",6.32,3.81,True,33,"{'Connecticut Universal Native Transcripts': 0, 'Cool Book Bro': 33}"
36,The Changeling Sea,Patricia A. McKillip,Firebird,['sci-fi'],15.46,1.19,True,96,"{'Connecticut Universal Native Transcripts': 14, 'Scripts Holden In Treasure': 18, 'Books Untravled Through Time': 14}"
37,The Changeling,Zilpha Keatley Snyder,iUniverse,['fantasy'],38.84,2.97,True,99,"{'Philosophy In Scribes & Signatures': 20, 'Doctorate Institute Connection Kansas': 2, 'Cool Book Bro': 37, 'Scripts Holden In Treasure': 40}"
38,The Changeling,Kate Horsley,Shambhala,['mystery'],42.87,2.29,True,22,{'Connecticut Universal Native Transcripts': 11}
39,The Changeling (Daughters of England  #15),Philippa Carr,Ivy Books,['physics'],35.88,3.82,True,121,"{'Books Untravled Through Time': 3, 'Philosophy In Scribes & Signatures': 19, 'Scripts Holden In Treasure': 57, 'Cool Book Bro': 36}"
40,The Known World,Edward P. Jones,Amistad,['sci-fi'],27.94,1.06,True,32,{'Philosophy In Scribes & Signatures': 32}
41,The Known World,Edward P. Jones/Kevin R. Free,HarperAudio,['mathematics'],26.33,1.28,True,213,"{'Books Untravled Through Time': 17, 'Philosophy In Scribes & Signatures': 36, 'Doctorate Institute Connection Kansas': 63}"
42,The Known World,Edward P. Jones,Harper,"['mathematics', 'biography']",23.98,3.49,True,12,"{'Philosophy In Scribes & Signatures': 8, 'Doctorate Institute Connection Kansas': 4}"
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,FT Press,"['physics', 'history']",10.45,3.28,True,237,"{'Scripts Holden In Treasure': 81, 'Cool Book Bro': 19, 'Books Untravled Through Time': 11, 'Doctorate Institute Connection Kansas': 63}"
44,Artesia: Adventures in the Known World,Mark Smylie,Archaia,"['comic', 'fantasy']",8.99,1.08,True,130,"{'Philosophy In Scribes & Signatures': 5, 'Books Untravled Through Time': 20, 'Connecticut Universal Native Transcripts': 17, 'Doctorate Institute Connection Kansas': 78}"
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,Farrar  Straus and Giroux,"['fantasy', 'adventure']",20.94,4.65,True,116,"{'Cool Book Bro': 38, 'Books Untravled Through Time': 19, 'Doctorate Institute Connection Kansas': 21}"
46,Uncommon Carriers,John McPhee,Farrar Straus Giroux,"['mystery', 'sci-fi']",39.11,1.6,True,162,"{'Books Untravled Through Time': 20, 'Cool Book Bro': 40, 'Scripts Holden In Treasure': 95, 'Connecticut Universal Native Transcripts': 7}"
47,Heirs of General Practice,John McPhee,Farrar  Straus and Giroux,"['cooking', 'biography']",7.89,3.92,True,53,"{'Philosophy In Scribes & Signatures': 21, 'Books Untravled Through Time': 16}"
49,Annals of the Former World,John McPhee,Farrar  Straus and Giroux,"['biography', 'cooking']",34.89,1.21,True,64,"{'Doctorate Institute Connection Kansas': 21, 'Connecticut Universal Native Transcripts': 4, 'Cool Book Bro': 36, 'Philosophy In Scribes & Signatures': 3}"
50,Coming Into the Country,John McPhee,Farrar  Straus and Giroux,"['biography', 'computer-science']",1.84,2.66,True,24,{'Books Untravled Through Time': 12}
51,La Place de la Concorde Suisse,John McPhee,Farrar  Straus and Giroux,['mystery'],49.4,2.84,True,6,{'Books Untravled Through Time': 3}
52,Giving Good Weight,John McPhee,Farrar  Straus and Giroux,['sci-fi'],37.03,2.91,True,87,"{'Cool Book Bro': 30, 'Connecticut Universal Native Transcripts': 5, 'Philosophy In Scribes & Signatures': 34, 'Doctorate Institute Connection Kansas': 13}"
53,Rising from the Plains,John McPhee,Farrar  Straus and Giroux,['fantasy'],1.69,2.99,True,154,"{'Scripts Holden In Treasure': 56, 'Doctorate Institute Connection Kansas': 15, 'Books Untravled Through Time': 3, 'Connecticut Universal Native Transcripts': 11, 'Philosophy In Scribes & Signatures': 13}"
54,The Heidi Chronicles,Wendy Wasserstein,Dramatists Play Service,['cooking'],12.36,2.79,True,149,"{'Philosophy In Scribes & Signatures': 47, 'Connecticut Universal Native Transcripts': 4, 'Cool Book Bro': 2}"
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,Vintage,"['adventure', 'sci-fi']",19.3,3.68,True,62,"{'Books Untravled Through Time': 18, 'Doctorate Institute Connection Kansas': 44}"
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,Routledge,['comic'],20.79,1.97,True,12,{'Connecticut Universal Native Transcripts': 12}
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,North Light Books,['fantasy'],12.38,1.74,True,223,"{'Cool Book Bro': 34, 'Scripts Holden In Treasure': 76, 'Books Untravled Through Time': 3}"
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,Chosen Books,"['cooking', 'mathematics']",6.15,2.51,True,222,"{'Doctorate Institute Connection Kansas': 80, 'Cool Book Bro': 34, 'Scripts Holden In Treasure': 60, 'Connecticut Universal Native Transcripts': 14}"
59,Heidi (Heidi  #1-2 3),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,Kingfisher,['mystery'],40.65,3.34,True,179,"{'Doctorate Institute Connection Kansas': 67, 'Philosophy In Scribes & Signatures': 31, 'Connecticut Universal Native Transcripts': 14}"
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,Kingfisher,['mystery'],40.65,3.34,True,179,"{'Doctorate Institute Connection Kansas': 67, 'Philosophy In Scribes & Signatures': 31, 'Connecticut Universal Native Transcripts': 14}"
61,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Scholastic Inc.,['computer-science'],15.85,4.43,True,104,"{'Connecticut Universal Native Transcripts': 12, 'Doctorate Institute Connection Kansas': 97}"
62,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Scholastic Inc.,"['cooking', 'physics']",27.97,1.69,True,120,"{'Doctorate Institute Connection Kansas': 44, 'Cool Book Bro': 27, 'Connecticut Universal Native Transcripts': 7}"
63,"Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,"['fantasy', 'adventure']",45.95,4.94,True,5,{'Doctorate Institute Connection Kansas': 5}
64,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,Association for Supervision & Curriculum Development,['sci-fi'],44.22,1.33,True,191,"{'Cool Book Bro': 31, 'Doctorate Institute Connection Kansas': 22, 'Books Untravled Through Time': 0, 'Scripts Holden In Treasure': 76}"
65,a,c,v,"['mathematics', 'history']",2.0,3.0,False,0,{'Connecticut Universal Native Transcripts': 0}
66,aaa,vvv,bbb,"['mathematics', 'history', 'computer-science', 'comic']",2.0,2.0,True,1,{'Connecticut Universal Native Transcripts': 1}
67,b,bb,bbb,['history'],3.0,3.0,True,3,"{'Cool Book Bro': 1, 'Connecticut Universal Native Transcripts': 2}"
68,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Scholastic,"['fantasy', 'sci-fi']",41.4,3.7,True,4,{'Philosophy In Scribes & Signatures': 4}
69,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Scholastic Inc.,"['fantasy', 'adventure']",15.58,3.08,True,52,"{'Scripts Holden In Treasure': 1, 'Connecticut Universal Native Transcripts': 16, 'Philosophy In Scribes & Signatures': 13, 'Books Untravled Through Time': 8}"
70,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,"['fantasy', 'adventure']",45.95,4.94,True,5,{'Doctorate Institute Connection Kansas': 5}
71,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,"['comic', 'mystery']",15.29,2.95,True,76,"{'Doctorate Institute Connection Kansas': 44, 'Scripts Holden In Treasure': 10, 'Connecticut Universal Native Transcripts': 11}"
72,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Random House Audio,"['biography', 'physics']",1.26,4.39,True,157,"{'Connecticut Universal Native Transcripts': 4, 'Cool Book Bro': 36, 'Doctorate Institute Connection Kansas': 81}"
73,The Control of Nature,John McPhee,Farrar  Straus and Giroux,"['adventure', 'sci-fi']",44.12,2.25,True,64,"{'Philosophy In Scribes & Signatures': 6, 'Connecticut Universal Native Transcripts': 11, 'Books Untravled Through Time': 3, 'Scripts Holden In Treasure': 30}"
